date,prior_market_cap,price_effect,new_issuance,removed_capital,other_adjustments,total_market_cap,reconciliation_difference,reconciles
2019-11-01,0.0,0.0,110300.0,0.0,0.0,110300.0,0.0,True
2020-02-01,110300.0,0.0,52500.0,0.0,0.0,162800.0,0.0,True
2020-03-17,162800.0,2199.999999999999,0.0,0.0,0.0,165000.0,0.0,True
2020-04-01,165000.0,0.0,25500.0,0.0,0.0,190500.0,0.0,True
2020-05-01,190500.0,0.0,140000.0,0.0,0.0,330500.0,0.0,True
2020-05-05,330500.0,1500.0,0.0,0.0,0.0,332000.0,0.0,True
2020-06-01,332000.0,0.0,56000.0,0.0,0.0,388000.0,0.0,True
2020-06-30,388000.0,7000.0,0.0,0.0,0.0,395000.0,0.0,True
2020-08-18,395000.0,10399.999999999998,0.0,0.0,0.0,405400.0,0.0,True
2020-09-01,405400.0,0.0,397600.0,0.0,0.0,803000.0,0.0,True
2020-09-15,803000.0,10000.0,0.0,0.0,0.0,813000.0,0.0,True
2020-10-01,813000.0,0.0,69000.0,0.0,0.0,882000.0,0.0,True
2020-10-13,882000.0,0.0,0.0,0.0,0.0,882000.0,0.0,True
2020-10-20,882000.0,0.0,0.0,0.0,0.0,882000.0,0.0,True
2020-11-01,882000.0,0.0,289500.0,0.0,0.0,1171500.0,0.0,True
2020-11-17,1171500.0,0.0,0.0,0.0,0.0,1171500.0,0.0,True
2020-11-20,1171500.0,0.0,160000.0,0.0,0.0,1331500.0,0.0,True
2020-12-01,1331500.0,7600.000000000002,72500.0,0.0,0.0,1411600.0,0.0,True
2020-12-15,1411600.0,-50000.0,0.0,0.0,0.0,1361600.0,0.0,True
2020-12-22,1361600.0,0.0,0.0,0.0,0.0,1361600.0,0.0,True
2021-01-01,1361600.0,0.0,495000.0,0.0,0.0,1856600.0,0.0,True
2021-01-05,1856600.0,4500.0,0.0,0.0,0.0,1861100.0,0.0,True
2021-01-14,1861100.0,0.0,0.0,0.0,0.0,1861100.0,0.0,True
2021-01-21,1861100.0,1500.0,0.0,0.0,0.0,1862600.0,0.0,True
2021-02-01,1862600.0,0.0,30000.0,0.0,0.0,1892600.0,0.0,True
2021-02-09,1892600.0,14000.0,0.0,0.0,0.0,1906600.0,0.0,True
2021-02-18,1906600.0,15000.0,0.0,0.0,0.0,1921600.0,0.0,True
2021-03-01,1921600.0,0.0,22000.0,0.0,0.0,1943600.0,0.0,True
2021-03-02,1943600.0,-20000.0,0.0,0.0,0.0,1923600.0,0.0,True
2021-03-04,1923600.0,-4000.0,0.0,0.0,0.0,1919600.0,0.0,True
2021-03-11,1919600.0,-12799.999999999996,0.0,0.0,0.0,1906800.0,0.0,True
2021-03-16,1906800.0,-21500.0,0.0,0.0,0.0,1885300.0,0.0,True
2021-03-18,1885300.0,-3000.0,0.0,0.0,0.0,1882300.0,0.0,True
2021-03-23,1882300.0,-8000.0,0.0,0.0,0.0,1874300.0,0.0,True
2021-04-01,1874300.0,0.0,57000.0,0.0,0.0,1931300.0,0.0,True
2021-04-15,1931300.0,-51050.0,0.0,0.0,0.0,1880250.0,0.0,True
2021-04-20,1880250.0,-31200.0,0.0,0.0,0.0,1849050.0,0.0,True
2021-04-22,1849050.0,-12000.0,0.0,0.0,0.0,1837050.0,0.0,True
2021-04-29,1837050.0,-24000.0,0.0,0.0,0.0,1813050.0,0.0,True
2021-05-04,1813050.0,1199.9999999999993,0.0,0.0,0.0,1814250.0,0.0,True
2021-05-14,1814250.0,0.0,140000.0,0.0,0.0,1954250.0,0.0,True
