ticker,name,universe,category,metric_1,metric_2,metric_3,score,last_updated
HERMES35,2012 Hermes Birkin 35 Handbag,alternative_assets,handbags,8.918545399523065,0.5713,0.5966,0.0,2026-07-02
CHANELCF,Classic Chanel Double Flap Bag,alternative_assets,handbags,,0.0,0.5513,0.0,2026-07-02
DAYTONA,Rolex Daytona Reference 116500LN,alternative_assets,watches,,0.0,0.5909,0.0,2026-07-02
00MOUTON,2000 Château Mouton Rothschild,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
03TACHE,2003 Domaine de la Romanée-Conti La Tâche,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
05LATOUR,2005 Château Latour,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
09RBLEROY,2009 Domaine Leroy Richebourg,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
14DRC,2014 Domaine de la Romanée-Conti Assortment,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
16PETRUS,2016 Château Pétrus,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
16SCREAG,2016 Screaming Eagle,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
79STELLA,1979 Rolex Coral Stella Dial Day-Date,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
BARO,Barosaurus Skeleton,alternative_assets,fossils,,0.0,0.45,0.0,2026-07-02
BIRKINBLU,Hermès 25cm Blue Lizard Birkin,alternative_assets,handbags,,0.4781,0.45,14.2,2026-07-02
BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,alternative_assets,handbags,0.5806368986849537,0.5342,0.45,11.25,2026-07-02
BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,alternative_assets,handbags,0.17749025877224067,0.5119,0.45,13.72,2026-07-02
BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
DEATON,Deaton Triceratops Skull,alternative_assets,fossils,,0.0,0.45,0.0,2026-07-02
DIMAGGIO2,DiMaggio 2 Watch,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
DOMINOS,Domino's Pizza Special Edition Rolex Air-King,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
FAUBOURG,Hermès Faubourg,alternative_assets,handbags,,0.221,0.45,7.78,2026-07-02
FAUBOURG2,Hermès Faubourg 2,alternative_assets,handbags,,0.221,0.45,7.78,2026-07-02
GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,alternative_assets,watches,,0.0,0.45,0.0,2026-07-02
HIMALAYA,Hermès 30cm Himalaya Birkin,alternative_assets,handbags,2.942532279852376,0.5051,0.45,0.0,2026-07-02
KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
MACALLAN2,Macallan 40-Year-Old Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
MACALLAN3,1938 Macallan Red Ribbon Whisky,alternative_assets,wine and whiskey,,0.0,0.45,0.0,2026-07-02
