asset_id,bid_ask_spread_pct,turnover,days_since_last_trade,days_with_zero_trades,realized_volatility,max_drawdown,return_since_offering,stale_mark_flag
rally-00mouton,,0.0,1736,20,2.425176387501756,-0.46071428571428574,-0.41481481481481475,True
rally-03tache,,0.0,1899,21,1.5208410660921012,-0.19000000000000006,-0.19000000000000006,True
rally-05latour,,0.0,2018,23,2.0233510467022775,-0.30722891566265065,0.26020408163265296,True
rally-06brm,,0.0,1934,21,2.5094203292026913,-0.42713567839195976,-0.17500000000000004,True
rally-09beaux,,0.0,1870,21,3.2614442599295907,-0.34558823529411764,0.08000000000000007,True
rally-09rbleroy,,0.0,1606,19,0.9328640423493781,-0.1312910284463895,-0.16000000000000003,True
rally-11belair,,0.0,1821,21,1.2038967990760236,-0.2010309278350515,-0.2272727272727273,True
rally-13beaux,,0.0,1955,22,3.5283617222346297,-0.33644859813084116,0.56,True
rally-14drc,,0.0,2018,23,1.7391784752573833,-0.2962962962962963,-0.033333333333333326,True
rally-16petrus,,0.0,1918,22,1.4377338389740877,-0.19999999999999996,-0.1923076923076923,True
rally-16screag,,0.0,2025,22,0.7277499674213118,-0.2517899761336515,-0.19615384615384612,True
rally-79stella,,0.0,1904,22,3.7677609627439113,-0.4244604316546763,0.18000000000000016,True
rally-7orlex,,0.0,2242,10,2.5004382319298117,-0.39,-0.025000000000000022,True
rally-93daytona,,0.0,2004,23,2.310834505004421,-0.41400000000000003,-0.13809523809523805,True
rally-aproak,,0.0,2221,5,1.7517377184422094,-0.45270270270270274,-0.4580000000000001,True
rally-birkinblu,,0.0,2256,20,1.7680069947933612,-0.5509745127436283,-0.4672413793103448,True
rally-birkinbor,,0.0,2039,22,3.0780828321761025,-0.595,-0.35238095238095235,True
rally-birkintan,,0.0,1371,16,2.4496849916524126,-0.375,-0.08571428571428563,True
rally-bondwatch,,0.0,1361,16,2.3124901852194206,-0.2727272727272727,-0.48750000000000004,True
rally-deaton,,0.0,1865,21,2.335503976592188,-0.33333333333333337,-0.050000000000000044,True
rally-dimaggio2,,0.0,1960,22,2.8471355612639693,-0.6111111111111112,-0.04761904761904767,True
rally-dominos,,0.0,1885,21,4.148739976274566,-0.5806451612903225,-0.07272727272727275,True
rally-faubourg,,0.0,2010,9,3.8142696024256986,-0.46631087391594395,-0.21733333333333327,True
rally-faubourg2,,0.0,1840,14,2.0777525389364095,-0.38983050847457623,0.0,True
rally-gmtblack1,,0.0,2088,24,1.6510740958830727,-0.30000000000000004,0.017857142857142794,True
rally-himalaya,,0.0,2116,24,2.6249041039993264,-0.4793333333333334,-0.33000000000000007,True
rally-karuizawa,,0.0,1554,18,1.3504041413648151,-0.5,-0.35,True
rally-macallan1,,0.0,1555,18,2.472907398241544,-0.4979919678714859,-0.05660377358490565,True
rally-macallan2,,0.0,1466,17,3.8658413084060643,-0.5146443514644352,-0.033333333333333326,True
rally-macallan3,,0.0,1280,15,1.3566649301911058,-0.23448275862068968,0.26,True
rally-megalodon,,0.0,1280,15,3.3735724466080947,-0.36,-0.7025,True
rally-mosasaur,,0.0,1837,21,3.703784768337484,-0.5121951219512195,0.14000000000000012,True
rally-pappy1,,0.0,1282,15,3.9149548737932487,-0.34545454545454546,3.6499999999999995,True
rally-picnic,,0.0,1890,21,4.253779012395219,-0.5766283524904214,-0.5074074074074073,True
rally-riviera,,0.0,1736,20,2.299874464310698,-0.3564356435643564,-0.3400000000000001,True
rally-rlexpepsi,,0.0,2298,26,2.2162021629912947,-0.3939393939393939,0.12359550561797739,True
rally-smurf,,0.0,2249,23,2.191009288417105,-0.4444444444444444,0.04637681159420293,True
rally-snoopy,,0.0,2144,24,3.003370636559922,-0.5495495495495495,0.07843137254901955,True
rally-soblack,,0.0,2004,23,3.658761965198751,-0.5292035398230088,-0.37410714285714286,True
rally-tornek,,0.0,1704,20,2.372630726734384,-0.525,-0.53,True
